cas_confirmes;cas_confirmes_ehpad;deces;deces_ehpad;reanimation;hospitalises;gueris
;;118;;5;109;537
;;685;;92;827;2615
;;97;;11;177;516
;;343;;36;274;1555
;;189;;53;226;1197
;;37;;4;35;125
;;44;;16;86;261
;;34;;4;37;132
;;291;;44;232;1371
;;108;;13;146;422
;;366;;43;235;1530
;;145;;4;122;436
;;102;;10;109;494
;;500;;46;354;1883
;;137;;9;67;657
;;170;;14;155;797
;;1098;;59;490;3455
;;68;;9;88;254
;;1525;;199;1402;6667
;;545;;39;299;1840
;;106;;10;148;497
;;678;;85;678;3064
;;243;;33;309;940
;;178;;21;334;879
;;84;;11;164;387
;;110;;19;79;547
;;865;;69;456;3655
;;907;;34;257;3706
;;1466;;228;1520;7349
;;122;;16;79;505
;;494;;55;501;1764
;;154;;11;212;905
;;357;;37;305;1330
;;484;;56;497;2297
;;2461;;228;1013;10025
;;520;;59;540;2081
;;1024;;67;457;4402
;;889;;63;789;3942
;;72;;11;88;220
;;334;;33;187;1138
;;100;;21;121;437
;;75;;13;66;336
;;389;;51;322;2095
;;319;;28;350;1236
;;85;;15;103;554
;;107;;17;88;425
;;111;;10;162;395
;;365;;12;205;1097
;;163;;17;204;743
;;270;;24;129;803
;;899;;83;612;4457
;;1451;;128;763;7536
;;1373;;91;772;6770
;;1662;;88;858;7059
;;1042;;49;478;4484
;;163;;10;92;706
;;41;;12;36;334
;;66;;1;16;1866
;;48;;9;69;622
;;35;;4;9;512
2208699;116240;35725;16402;3777;28168;161137
;;35700;;3765;28139;161106
;;163;;10;92;706
;;41;;12;36;334
;;66;;1;16;1866
;;48;;9;69;622
;;35;;4;9;512
;;10801;;797;5742;48675
;;996;;130;921;4326
;;1883;;233;1697;7364
;;1125;;113;1266;4502
;;3471;;378;2764;14375
;;4727;;307;2505;17732
;;975;;116;930;4879
;;544;;79;537;2800
;;1216;;201;1517;5934
;;1648;;298;1672;8349
;;5119;;678;5631;22189
;;2733;;390;2689;15475
;;109;;9;46;466
;;293;;23;381;1193
;;390;;22;204;1666
;;212;;20;219;752
;;62;;7;153;398
;;97;;10;180;451
;;413;;65;471;1999
;;250;;18;213;871
;;138;;14;157;406
;;18;;4;44;111
;;212;;19;158;911
;;109;;8;82;440
;;104;;9;99;385
;;1464;;226;1238;9322
;;202;;23;248;858
;;31;;15;83;186
;;33;;1;43;164
;;99;;16;86;378
;;205;;11;166;460
;;81;;4;56;319
;;394;;57;341;1584
;;82;;8;59;449
;;44;;12;50;220
;;37;;8;75;245
;;225;;50;176;1032
;;327;;41;238;1221
;;189;;8;193;644
;;212;;21;215;1045
;;82;;21;76;443
;;74;;6;28;256
;;36;;5;17;213
;;262;;52;303;1099
;;281;;72;317;2152
;;49;;5;34;158
;;356;;75;373;2160
;;400;;77;286;2046
;;214;;34;246;1117
;;112;;5;67;351
;;167;;34;145;742
;;691;;102;863;2941
;;155;;9;177;693
;;57;;10;90;272
;;118;;4;110;537
;;691;;93;826;2621
;;97;;11;181;517
;;346;;34;273;1559
;;194;;50;222;1199
;;37;;4;36;125
;;45;;16;90;261
;;34;;4;39;132
;;295;;41;230;1380
;;110;;13;147;422
;;367;;42;231;1538
;;145;;4;124;436
;;103;;9;109;493
;;503;;45;355;1892
;;138;;9;64;660
;;171;;14;151;801
;;1100;;62;492;3457
;;70;;9;93;254
;;1526;;200;1409;6681
;;547;;38;300;1844
;;108;;9;148;497
;;683;;83;691;3066
;;245;;33;306;948
;;180;;19;339;881
;;87;;10;165;387
;;110;;20;80;547
;;869;;68;450;3660
;;910;;35;267;3711
;;1475;;225;1541;7356
;;123;;15;79;506
;;497;;53;503;1770
;;157;;11;217;904
;;359;;36;312;1332
;;492;;51;482;2318
;;2469;;233;1015;10037
;;526;;58;535;2090
;;1028;;67;457;4416
;;889;;63;792;3942
;;74;;11;86;220
;;334;;32;191;1138
;;101;;22;125;437
;;75;;13;67;336
;;390;;50;325;2099
;;321;;30;358;1242
;;86;;15;104;555
;;108;;16;87;427
;;111;;10;162;395
;;365;;12;211;1103
;;164;;17;209;743
;;271;;23;128;803
;;902;;83;614;4462
;;1454;;128;765;7538
;;1373;;93;783;6775
;;1667;;88;861;7063
;;1046;;49;475;4488
;;163;;9;92;706
;;41;;10;33;336
;;66;;1;16;1866
;;48;;10;72;622
;;35;;4;9;512
2218483;116240;35923;16402;3756;28313;161427
;;35898;;3744;28284;161396
;;163;;9;92;706
;;41;;10;33;336
;;66;;1;16;1866
;;48;;10;72;622
;;35;;4;9;512
;;10828;;804;5762;48721
;;1008;;125;925;4334
;;1899;;233;1706;7385
;;1135;;111;1271;4511
;;3480;;375;2795;14395
;;4747;;310;2509;17774
;;987;;110;933;4891
;;549;;77;532;2810
;;1225;;198;1537;5942
;;1667;;300;1677;8355
;;5163;;668;5645;22256
;;2747;;388;2725;15511
;;110;;11;45;469
;;298;;24;382;1204
;;393;;22;218;1668
;;216;;21;210;759
;;63;;6;144;411
;;100;;13;184;454
;;418;;60;472;2013
;;253;;18;216;880
;;140;;14;165;408
;;20;;4;42;111
;;216;;21;145;930
;;111;;8;77;442
;;105;;9;97;389
;;1471;;235;1232;9378
;;206;;23;240;866
;;32;;13;68;203
;;33;;1;43;165
;;100;;16;84;379
;;208;;11;161;467
;;81;;4;58;320
;;401;;57;345;1586
;;84;;8;62;449
;;45;;7;46;228
;;37;;7;80;245
;;229;;49;190;1032
;;334;;42;242;1233
;;197;;7;180;654
;;214;;21;196;1066
;;83;;20;75;443
;;74;;6;28;256
;;36;;3;17;213
;;268;;53;310;1122
;;284;;71;308;2163
;;50;;5;32;159
;;362;;78;370;2171
;;405;;70;295;2049
;;217;;34;256;1119
;;114;;5;64;353
;;170;;34;144;750
;;707;;99;867;2962
;;156;;8;181;698
;;58;;11;99;276
;;119;;4;113;540
;;699;;91;809;2638
;;99;;10;178;523
;;347;;32;277;1560
;;195;;52;228;1199
;;38;;4;35;125
;;46;;17;92;261
;;35;;4;45;132
;;299;;44;231;1383
;;113;;14;147;425
;;370;;39;221;1546
;;148;;4;113;451
;;103;;9;107;496
;;506;;45;357;1895
;;141;;9;66;661
;;173;;14;153;802
;;1113;;62;492;3484
;;72;;9;96;257
;;1553;;201;1392;6729
;;550;;39;304;1845
;;109;;11;144;509
;;692;;87;695;3071
;;255;;34;296;961
;;184;;21;340;892
;;90;;10;162;391
;;111;;21;80;547
;;877;;70;449;3683
;;918;;37;271;3714
;;1490;;218;1537;7391
;;123;;14;85;509
;;508;;51;501;1780
;;160;;12;232;908
;;366;;36;312;1342
;;500;;48;494;2328
;;2484;;226;1010;10065
;;532;;59;518;2102
;;1031;;68;466;4423
;;892;;62;789;3954
;;75;;11;85;220
;;335;;34;202;1139
;;103;;23;136;438
;;75;;13;70;338
;;400;;48;318;2108
;;330;;36;360;1255
;;87;;15;103;556
;;111;;18;85;428
;;115;;11;170;394
;;368;;13;210;1115
;;165;;18;197;770
;;273;;24;149;803
;;906;;83;624;4471
;;1456;;125;763;7559
;;1380;;94;783;6793
;;1688;;85;808;7115
;;1053;;50;483;4506
;;163;;9;92;706
;;41;;10;35;336
;;66;;1;16;1866
;;49;;10;68;625
;;35;;2;10;513
2222488;116240;36329;16402;3751;28258;162281
;;36304;;3739;28229;162250
;;163;;9;92;706
;;41;;10;35;336
;;66;;1;16;1866
;;49;;10;68;625
;;35;;2;10;513
;;10890;;793;5726;48886
;;1020;;127;906;4375
;;1927;;230;1744;7435
;;1157;;114;1229;4556
;;3523;;383;2811;14452
;;4797;;314;2489;17887
;;996;;112;950;4903
;;557;;76;546;2813
;;1247;;202;1552;5979
;;1695;;295;1689;8406
;;5249;;654;5611;22424
;;2782;;398;2710;15619
;;110;;9;45;469
1865538;;29272;13263;4803;31946;133696
;;299;;24;385;1207
;;396;;22;210;1688
;;224;;20;226;772
;;63;;6;140;417
;;103;;12;186;458
;;435;;58;440;2048
;;254;;17;210;889
;;142;;13;159;414
;;22;;3;41;111
;;217;;21;147;940
;;113;;8;76;445
;;106;;7;95;393
;;1484;;228;1203;9491
;;208;;23;213;893
;;34;;14;69;205
;;33;;2;41;169
;;102;;15;79;381
;;209;;10;162;472
;;83;;3;50;329
;;405;;55;344;1607
;;87;;7;58;455
;;45;;6;45;230
;;38;;8;71;252
;;231;;59;178;1047
;;336;;41;244;1236
;;198;;5;179;657
;;220;;19;188;1090
;;84;;17;72;445
;;74;;6;26;258
;;36;;1;18;214
;;269;;46;301;1146
;;285;;67;300;2173
;;50;;6;30;161
;;366;;78;367;2183
;;411;;64;296;2073
;;217;;33;260;1132
;;115;;6;69;357
;;174;;33;149;752
;;720;;108;883;3004
;;156;;9;186;704
;;60;;9;93;289
;;121;;3;120;543
;;710;;87;779;2675
;;100;;9;178;531
;;349;;29;277;1583
;;197;;49;223;1211
;;38;;3;48;125
;;46;;16;90;269
;;36;;4;48;132
;;300;;38;237;1395
;;116;;12;142;430
;;374;;33;214;1558
;;149;;3;117;458
;;105;;9;108;500
;;511;;44;347;1917
;;142;;10;68;667
;;174;;13;152;809
;;1117;;56;469;3529
;;74;;7;90;265
;;1567;;188;1329;6824
;;559;;33;297;1865
;;109;;14;146;520
;;709;;86;659;3141
;;258;;31;290;969
;;189;;16;340;919
;;90;;11;158;402
;;111;;21;79;552
;;883;;64;442;3710
;;921;;38;274;3727
;;1510;;206;1495;7468
;;123;;15;80;518
;;519;;45;477;1830
;;160;;13;239;918
;;371;;33;307;1363
;;507;;54;480;2370
;;2495;;211;988;10126
;;538;;59;534;2121
;;1038;;67;438;4464
;;903;;61;781;3994
;;76;;10;92;220
;;338;;33;196;1148
;;105;;22;126;451
;;76;;12;68;340
;;405;;50;296;2138
;;338;;30;303;1321
;;88;;12;102;568
;;113;;14;73;441
;;120;;9;161;400
;;372;;12;222;1123
;;167;;20;209;771
;;273;;25;155;803
;;912;;84;605;4495
;;1462;;125;730;7609
;;1391;;92;746;6846
;;1697;;82;811;7150
;;1057;;50;466;4525
;;163;;9;95;707
;;41;;9;34;338
;;66;;1;15;1872
;;49;;11;68;632
;;35;;2;9;515
2230571;119716;36692;16814;3605;27639;164029
;;36667;;3594;27611;163998
;;163;;9;95;707
;;41;;9;34;338
;;66;;1;15;1872
;;49;;11;68;632
;;35;;2;9;515
;;10955;;772;5565;49209
;;1036;;120;911;4425
;;1948;;235;1719;7545
;;1169;;113;1214;4621
;;3569;;362;2691;14666
;;4828;;294;2459;18043
;;1002;;101;963;4964
;;562;;70;542;2841
;;1271;;186;1502;6082
;;1712;;274;1666;8504
;;5323;;644;5546;22689
;;2828;;384;2568;15873
;;110;;7;44;472
;;299;;24;392;1208
;;401;;22;206;1702
;;226;;20;225;780
;;66;;7;137;425
;;104;;14;178;468
;;438;;54;449;2056
;;257;;18;200;912
;;142;;13;151;424
;;23;;2;37;114
;;222;;20;138;948
;;113;;7;68;452
;;107;;5;94;394
;;1493;;222;1199;9564
;;210;;19;206;909
;;36;;13;72;206
;;34;;2;38;174
;;103;;13;77;385
;;212;;9;165;475
;;83;;2;46;334
;;408;;56;352;1620
;;87;;7;59;460
;;46;;3;38;237
;;39;;7;70;255
;;234;;57;166;1070
;;337;;39;239;1249
;;199;;6;184;663
;;222;;19;182;1110
;;84;;16;72;449
;;76;;5;25;258
;;36;;1;17;215
;;272;;44;274;1171
;;289;;69;302;2195
;;50;;5;30;161
;;370;;75;351;2210
;;412;;62;287;2093
;;219;;34;260;1140
;;116;;6;66;359
;;176;;31;152;760
;;724;;112;878;3022
;;158;;9;185;714
;;62;;8;93;293
;;121;;3;115;551
;;720;;83;733;2726
;;106;;10;161;546
;;353;;28;267;1597
;;199;;49;219;1226
;;39;;3;44;128
;;48;;14;87;275
;;37;;4;47;132
;;300;;35;239;1406
;;117;;11;136;435
;;377;;34;215;1568
;;150;;3;117;463
;;109;;8;100;509
;;514;;44;339;1933
;;143;;11;64;672
;;175;;15;152;811
;;1126;;53;456;3567
;;76;;5;85;270
;;1586;;176;1296;6891
;;560;;30;304;1872
;;111;;12;148;531
;;716;;87;677;3176
;;264;;26;285;976
;;192;;18;294;984
;;91;;11;157;407
;;112;;18;75;554
;;889;;61;428;3733
;;923;;37;283;3741
;;1537;;201;1425;7587
;;123;;14;76;523
;;524;;44;476;1851
;;162;;12;248;929
;;375;;28;303;1384
;;514;;55;449;2412
;;2507;;201;934;10175
;;547;;56;512;2153
;;1044;;72;417;4499
;;906;;60;786;4003
;;76;;10;91;226
;;339;;35;192;1162
;;107;;22;127;456
;;76;;10;69;341
;;408;;50;281;2158
;;342;;27;302;1333
;;89;;11;104;575
;;115;;12;62;451
;;120;;9;162;400
;;373;;10;223;1138
;;171;;18;200;804
;;283;;23;155;819
;;916;;83;589;4524
;;1469;;119;721;7626
;;1395;;91;732;6878
;;1706;;78;786;7191
;;1059;;49;467;4540
;;163;;9;96;708
;;41;;8;32;340
;;66;;1;14;1876
;;49;;11;62;639
;;35;;3;10;517
2244635;119716;37002;16814;3488;27013;165563
;;36976;;3478;26986;165532
;;163;;9;96;708
;;41;;8;32;340
;;66;;1;14;1876
;;49;;11;62;639
;;35;;3;10;517
;;11002;;753;5432;49436
;;1046;;117;899;4481
;;1977;;226;1695;7671
;;1184;;104;1186;4691
;;3602;;350;2675;14803
;;4859;;286;2414;18187
;;1013;;94;958;5016
;;565;;72;543;2860
;;1288;;173;1409;6224
;;1728;;262;1611;8598
;;5395;;629;5362;23008
;;2851;;374;2546;16004
;;112;;6;42;473
;;305;;25;369;1234
;;402;;22;205;1717
;;231;;20;214;795
;;73;;6;130;428
;;105;;12;180;471
;;440;;59;466;2087
;;261;;16;199;918
;;150;;13;156;428
;;23;;2;37;116
;;222;;16;137;951
;;114;;7;60;463
;;108;;6;99;397
;;1502;;226;1183;9620
;;215;;18;198;919
;;40;;12;74;210
;;34;;2;34;180
;;104;;13;73;389
;;213;;11;175;482
;;83;;3;30;344
;;411;;55;354;1638
;;87;;7;65;462
;;47;;5;39;238
;;39;;7;72;256
;;237;;53;162;1077
;;342;;40;234;1266
;;201;;6;184;668
;;223;;20;187;1112
;;85;;16;66;456
;;76;;5;24;259
;;36;;1;14;218
;;275;;45;259;1189
;;290;;68;298;2206
;;52;;4;27;162
;;376;;74;356;2224
;;416;;57;275;2109
;;219;;32;261;1147
;;120;;6;66;364
;;178;;32;151;771
;;741;;105;859;3086
;;165;;10;193;723
;;64;;8;94;299
;;125;;3;116;553
;;723;;82;725;2749
;;106;;9;159;552
;;356;;29;257;1612
;;202;;47;205;1246
;;41;;1;41;131
;;49;;13;80;286
;;42;;5;40;134
;;302;;38;238;1417
;;118;;10;128;443
;;382;;33;209;1575
;;150;;5;117;470
;;109;;7;106;512
;;515;;48;366;1948
;;144;;9;59;675
;;178;;14;146;821
;;1132;;55;465;3586
;;76;;5;86;273
;;1605;;178;1278;6974
;;564;;29;295;1887
;;112;;12;145;536
;;723;;90;678;3218
;;269;;25;283;989
;;203;;17;267;1014
;;93;;9;158;415
;;112;;18;74;557
;;895;;61;428;3760
;;925;;35;295;3752
;;1550;;199;1406;7663
;;124;;12;72;530
;;528;;46;479;1868
;;167;;13;251;941
;;377;;27;281;1411
;;519;;54;461;2428
;;2517;;186;905;10224
;;552;;54;514;2170
;;1048;;74;424;4521
;;912;;58;784;4017
;;77;;8;84;231
;;340;;38;199;1167
;;107;;23;133;459
;;76;;8;67;348
;;409;;46;272;2175
;;346;;24;292;1355
;;92;;11;98;584
;;115;;12;60;453
;;120;;8;160;406
;;379;;11;221;1153
;;172;;17;209;817
;;284;;23;163;828
;;922;;80;587;4548
;;1473;;114;704;7658
;;1407;;89;695;6924
;;1712;;71;785;7216
;;1063;;47;453;4564
;;164;;9;95;709
;;41;;8;32;340
;;66;;1;15;1878
;;50;;9;62;641
;;35;;3;9;518
2257331;119716;37326;16814;3425;26703;166940
;;37300;;3415;26675;166909
;;164;;9;95;709
;;41;;8;32;340
;;66;;1;15;1878
;;50;;9;62;641
;;35;;3;9;518
;;11054;;719;5337;49672
;;1061;;119;900;4528
;;1997;;221;1718;7754
;;1198;;100;1169;4736
;;3634;;357;2655;14963
;;4894;;286;2453;18298
;;1026;;98;950;5066
;;569;;69;538;2886
;;1311;;170;1349;6320
;;1749;;253;1568;8686
;;5464;;614;5264;23301
;;2875;;373;2523;16136
;;112;;6;38;477
;;309;;26;373;1253
;;406;;22;212;1730
;;235;;20;220;806
;;76;;5;125;443
;;109;;11;166;486
;;445;;54;468;2106
;;265;;16;191;927
;;153;;14;152;436
;;24;;2;33;119
;;222;;15;141;952
;;116;;7;60;465
;;109;;8;95;401
;;1516;;211;1102;9690
;;217;;19;198;926
;;41;;11;72;215
;;35;;2;32;183
;;105;;12;69;391
;;214;;10;163;501
;;83;;4;30;347
;;412;;52;361;1655
;;87;;8;66;468
;;47;;3;34;247
;;39;;7;73;257
;;239;;55;168;1087
;;343;;37;237;1277
;;204;;7;183;672
;;224;;22;184;1116
;;88;;17;72;456
;;76;;6;22;262
;;36;;1;14;218
;;277;;42;250;1201
;;293;;68;292;2219
;;52;;4;27;162
;;381;;71;348;2246
;;418;;54;277;2123
;;220;;31;260;1155
;;121;;6;66;364
;;180;;32;152;779
;;758;;87;827;3141
;;167;;11;186;734
;;65;;8;99;302
;;127;;3;124;558
;;727;;80;708;2790
;;107;;9;161;558
;;359;;29;254;1623
;;203;;43;197;1254
;;42;;1;44;132
;;50;;15;70;296
;;42;;5;40;135
;;303;;37;230;1433
;;120;;9;124;449
;;384;;29;205;1592
;;152;;5;118;471
;;109;;7;102;519
;;519;;49;362;1961
;;147;;9;56;678
;;178;;13;138;831
;;1150;;52;452;3616
;;77;;5;96;275
;;1612;;168;1257;7021
;;568;;27;281;1908
;;113;;9;147;543
;;725;;88;680;3248
;;269;;27;269;1010
;;212;;19;262;1024
;;95;;10;134;444
;;113;;15;69;562
;;897;;61;441;3774
;;925;;34;300;3768
;;1562;;187;1371;7741
;;124;;14;73;535
;;535;;41;477;1882
;;169;;12;253;950
;;382;;26;280;1433
;;522;;54;452;2457
;;2524;;181;900;10274
;;559;;51;498;2191
;;1052;;72;412;4546
;;914;;59;790;4050
;;77;;8;79;242
;;344;;34;195;1180
;;107;;23;146;466
;;77;;8;72;354
;;411;;44;266;2192
;;351;;21;302;1371
;;93;;10;86;599
;;117;;11;56;466
;;123;;7;159;422
;;383;;11;225;1164
;;177;;16;221;829
;;286;;21;164;835
;;926;;79;584;4561
;;1480;;109;702;7686
;;1410;;86;682;6953
;;1720;;67;763;7257
;;1068;;46;448;4594
;;164;;7;93;711
;;41;;10;31;342
;;67;;0;17;1879
;;50;;9;56;650
;;35;;3;9;518
2268552;123298;37608;17159;3293;26311;168352
;;37582;;3283;26283;168321
;;164;;7;93;711
;;41;;10;31;342
;;67;;0;17;1879
;;50;;9;56;650
;;35;;3;9;518
;;11094;;699;5281;49921
;;1069;;116;886;4572
;;2017;;215;1746;7832
;;1213;;95;1150;4781
;;3655;;339;2625;15087
;;4932;;279;2452;18412
;;1033;;95;925;5124
;;573;;69;536;2910
;;1334;;167;1311;6423
;;1765;;247;1539;8783
;;5520;;580;5161;23608
;;2908;;346;2429;16288
;;112;;7;36;480
;;320;;28;343;1277
;;406;;22;215;1734
;;236;;19;221;813
;;76;;5;130;447
;;110;;11;161;492
;;448;;53;469;2130
;;267;;14;183;937
;;156;;14;160;441
;;24;;2;33;120
;;223;;13;141;957
;;116;;5;64;465
;;112;;6;88;405
;;1519;;208;1096;9743
;;218;;19;199;930
;;43;;9;69;218
;;35;;2;38;186
;;105;;12;64;396
;;215;;8;164;512
;;83;;4;32;348
;;414;;51;319;1705
;;87;;8;66;469
;;47;;3;37;247
;;39;;7;74;257
;;241;;52;160;1097
;;346;;34;233;1285
;;204;;7;189;679
;;224;;21;180;1124
;;88;;18;72;456
;;76;;6;22;262
;;36;;1;14;218
;;280;;40;241;1213
;;294;;66;291;2221
;;52;;4;28;163
;;385;;69;345;2258
;;420;;55;274;2129
;;223;;31;259;1164
;;122;;5;64;369
;;182;;33;147;785
;;763;;84;824;3168
;;168;;11;187;742
;;65;;8;97;303
;;127;;3;124;560
;;734;;78;706;2798
;;107;;9;162;561
;;360;;29;255;1630
;;205;;42;193;1258
;;42;;1;44;133
;;50;;16;72;299
;;44;;4;35;140
;;306;;35;225;1443
;;120;;10;122;451
;;386;;29;201;1599
;;153;;6;119;474
;;111;;7;97;526
;;525;;52;362;1971
;;149;;10;61;679
;;179;;13;130;840
;;1151;;52;459;3623
;;79;;6;90;281
;;1621;;162;1241;7068
;;568;;27;280;1913
;;118;;8;150;541
;;736;;88;680;3267
;;277;;22;277;1012
;;213;;18;252;1034
;;95;;11;133;448
;;113;;15;62;571
;;904;;57;440;3788
;;928;;37;309;3784
;;1576;;174;1365;7779
;;126;;10;74;536
;;537;;40;468;1902
;;172;;11;257;956
;;386;;25;267;1453
;;523;;56;444;2488
;;2527;;172;874;10314
;;567;;52;497;2216
;;1057;;76;404;4570
;;915;;61;788;4081
;;78;;7;77;245
;;344;;33;194;1181
;;110;;21;141;472
;;78;;8;70;356
;;412;;45;269;2203
;;352;;21;287;1386
;;96;;10;83;602
;;119;;11;53;467
;;124;;7;160;431
;;384;;12;235;1175
;;179;;17;229;839
;;289;;20;159;845
;;927;;80;584;4578
;;1483;;111;704;7714
;;1413;;84;681;6978
;;1723;;67;773;7269
;;1073;;45;440;4614
;;164;;7;82;722
;;41;;10;31;342
;;67;;0;18;1880
;;50;;8;51;656
;;35;;4;7;520
2281475;123298;37822;17159;3230;26070;169358
;;37796;;3220;26040;169327
;;164;;7;82;722
;;41;;10;31;342
;;67;;0;18;1880
;;50;;8;51;656
;;35;;4;7;520
;;11118;;696;5248;50118
;;1075;;112;872;4608
;;2033;;207;1686;7947
;;1227;;96;1157;4817
;;3675;;332;2610;15163
;;4959;;282;2487;18491
;;1045;;92;917;5157
;;577;;70;527;2929
;;1343;;164;1301;6471
;;1780;;238;1504;8836
;;5578;;552;5094;23789
;;2917;;343;2412;16401
;;112;;7;36;480
;;321;;28;346;1277
;;406;;22;216;1736
;;237;;19;232;814
;;81;;5;129;449
;;110;;11;164;492
;;452;;55;474;2136
;;269;;13;182;940
;;160;;14;175;442
;;24;;2;35;120
;;224;;13;143;957
;;116;;5;64;465
;;113;;6;89;405
;;1525;;213;1107;9754
;;223;;17;196;932
;;43;;12;71;218
;;35;;2;38;186
;;106;;12;64;396
;;217;;8;166;516
;;83;;4;32;348
;;418;;51;325;1708
;;88;;9;72;469
;;47;;3;38;247
;;39;;7;77;257
;;242;;56;182;1099
;;346;;35;240;1290
;;204;;8;189;681
;;224;;21;188;1124
;;90;;16;70;457
;;76;;7;21;263
;;36;;1;14;218
;;283;;38;239;1215
;;294;;66;292;2221
;;53;;4;28;163
;;387;;73;356;2263
;;423;;54;272;2131
;;226;;31;261;1164
;;124;;5;69;370
;;182;;34;148;787
;;767;;80;829;3171
;;168;;11;187;742
;;66;;8;96;303
;;127;;3;132;560
;;735;;78;706;2802
;;108;;8;163;563
;;362;;30;256;1631
;;206;;41;195;1261
;;43;;1;43;133
;;50;;16;75;299
;;44;;4;36;140
;;310;;31;221;1448
;;120;;10;121;454
;;390;;28;201;1602
;;154;;5;122;474
;;112;;7;96;526
;;528;;53;361;1977
;;151;;7;63;680
;;181;;13;128;841
;;1155;;54;463;3624
;;79;;6;88;282
;;1624;;158;1245;7070
;;569;;26;279;1915
;;118;;9;150;542
;;745;;82;684;3273
;;279;;23;279;1013
;;215;;19;252;1041
;;97;;11;137;449
;;113;;14;61;571
;;906;;59;444;3787
;;932;;37;327;3785
;;1583;;172;1375;7786
;;126;;9;74;536
;;540;;40;465;1915
;;174;;11;258;957
;;390;;26;265;1456
;;530;;54;451;2492
;;2529;;169;883;10320
;;573;;54;489;2226
;;1059;;76;417;4573
;;916;;60;788;4081
;;80;;8;86;246
;;344;;33;197;1181
;;110;;21;146;472
;;79;;7;66;360
;;413;;47;271;2206
;;355;;19;293;1398
;;96;;9;81;604
;;120;;16;57;467
;;124;;7;160;431
;;392;;12;237;1180
;;181;;17;226;840
;;289;;20;158;847
;;928;;78;583;4585
;;1484;;112;709;7725
;;1416;;81;683;6981
;;1724;;68;777;7272
;;1076;;44;434;4624
;;165;;6;81;722
;;41;;10;31;342
;;67;;0;18;1883
;;50;;8;52;658
;;35;;4;7;520
2292497;123298;37996;17159;3220;26293;169586
;;37970;;3210;26262;169555
;;165;;6;81;722
;;41;;10;31;342
;;67;;0;18;1883
;;50;;8;52;658
;;35;;4;7;520
;;11132;;688;5274;50161
;;1080;;112;898;4618
;;2043;;210;1705;7969
;;1238;;98;1145;4835
;;3688;;321;2621;15175
;;4992;;282;2536;18508
;;1054;;88;912;5166
;;585;;69;531;2931
;;1352;;175;1331;6484
;;1792;;233;1508;8845
;;5608;;548;5139;23822
;;2936;;350;2438;16435
;;112;;8;35;481
;;330;;29;345;1287
;;410;;24;221;1743
;;239;;21;229;817
;;82;;5;129;454
;;112;;10;163;494
;;457;;57;484;2145
;;271;;13;186;942
;;163;;14;172;442
;;25;;2;33;121
;;225;;13;141;961
;;117;;4;61;467
;;114;;6;88;405
;;1536;;211;1105;9790
;;226;;18;189;940
;;43;;12;73;219
;;35;;2;39;186
;;107;;11;64;396
;;219;;8;169;522
;;83;;4;33;349
;;422;;53;340;1710
;;89;;6;75;471
;;48;;4;38;248
;;43;;6;75;262
;;248;;53;176;1105
;;350;;33;244;1291
;;205;;6;192;683
;;228;;21;190;1125
;;90;;16;70;460
;;77;;5;19;264
;;36;;1;14;218
;;289;;41;238;1222
;;296;;67;286;2225
;;53;;4;31;164
;;396;;67;364;2275
;;427;;50;261;2151
;;230;;32;253;1171
;;124;;5;75;374
;;183;;35;159;788
;;772;;80;825;3187
;;168;;10;189;743
;;71;;8;98;306
;;134;;3;128;564
;;745;;76;696;2813
;;113;;8;164;563
;;362;;30;257;1635
;;208;;42;204;1266
;;44;;1;41;135
;;55;;7;64;313
;;46;;3;35;140
;;312;;31;220;1453
;;125;;7;120;459
;;390;;29;209;1608
;;156;;5;121;476
;;115;;7;98;527
;;535;;51;356;1985
;;155;;8;62;681
;;184;;11;129;843
;;1162;;57;474;3640
;;80;;6;88;284
;;1642;;156;1231;7120
;;570;;25;277;1919
;;118;;9;165;544
;;750;;82;682;3297
;;286;;22;269;1022
;;224;;21;251;1045
;;98;;12;138;454
;;113;;15;64;572
;;920;;52;443;3808
;;937;;35;331;3788
;;1601;;174;1333;7854
;;126;;12;80;537
;;543;;43;470;1924
;;178;;10;262;960
;;394;;26;267;1466
;;537;;56;467;2511
;;2533;;172;880;10341
;;576;;53;488;2230
;;1069;;76;410;4583
;;931;;63;794;4100
;;81;;6;86;247
;;350;;33;203;1184
;;114;;19;150;474
;;79;;6;67;364
;;419;;48;295;2217
;;360;;18;301;1401
;;98;;9;80;606
;;120;;17;58;466
;;125;;7;175;439
;;396;;13;250;1189
;;184;;19;232;841
;;293;;19;161;848
;;932;;76;581;4589
;;1490;;114;719;7737
;;1421;;79;668;7004
;;1728;;71;767;7306
;;1081;;43;440;4630
;;165;;6;81;722
;;41;;10;33;343
;;67;;0;20;1884
;;50;;9;55;659
;;36;;3;7;521
2295908;123298;38362;17159;3198;26365;170285
;;38336;;3188;26333;170254
;;165;;6;81;722
;;41;;10;33;343
;;67;;0;20;1884
;;50;;9;55;659
;;36;;3;7;521
;;11185;;694;5259;50290
;;1096;;114;925;4639
;;2064;;215;1736;7992
;;1250;;93;1154;4856
;;3722;;320;2614;15263
;;5039;;277;2559;18578
;;1065;;87;917;5181
;;593;;65;527;2945
;;1388;;160;1345;6532
;;1815;;230;1493;8894
;;5681;;550;5098;23972
;;2966;;349;2477;16501
;;113;;6;33;482
;;331;;29;354;1293
;;415;;25;229;1752
